council_short,FMP_FEP,stock,common_name,sci_name,type,p_star,abc_buffer,acl_buffer,act_buffer,notes,ref
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Scups & Porgies,sheepshead porgy,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Scups & Porgies,pluma,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Scups & Porgies,Jolthead porgy,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Scups & Porgies,sea bream,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Scups & Porgies,sheepshead porgy,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Scups & Porgies,pluma,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Scups & Porgies,Jolthead porgy,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Scups & Porgies,sea bream,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Scups & Porgies,sheepshead porgy,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Scups & Porgies,pluma,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 1,Black snapper,Apsilus dentatus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 1,blackfin snapper,Lutjanus buccanella,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 1,silk snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 1,vermilion snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 1,wenchman,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 2,Cardinal snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 2,queen snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,Gray snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,lane snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,mutton snapper,Lutjanus analis,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,dog snapper,Lutjanus jocu,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,schoolmaster,Lutjanus apodus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,mahogany snapper,Lutjanus mahogani,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 4,Yellowtail snapper,Ocyurus chrysurus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,Black snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,blackfin snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,silk snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,vermilion snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,wenchman,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,Cardinal snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,queen snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,Gray snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,lane snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,mutton snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,dog snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,schoolmaster,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,mahogany snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,Yellowtail snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,Black snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,blackfin snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,silk snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,vermilion snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,wenchman,,constant catch,NA,0,0.15,0,,
