council,council_short,FMP_FEP,stock,common_name,sci_name,tier_level,type,notes,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,vermilion snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,wenchman,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,Cardinal snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,queen snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,Gray snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,lane snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,mutton snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,dog snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,schoolmaster,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,mahogany snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,Yellowtail snapper,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Squirrelfish,Blackbar soldierfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Squirrelfish,bigeye,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Squirrelfish,longspine squirrelfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Squirrelfish,squirrelfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Squirrelfish,Blackbar soldierfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Squirrelfish,bigeye,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Squirrelfish,longspine squirrelfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Squirrelfish,squirrelfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Squirrelfish,Blackbar soldierfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Squirrelfish,bigeye,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Squirrelfish,longspine squirrelfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Squirrelfish,squirrelfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Surgeonfish,Blue tang,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Surgeonfish,ocean surgeonfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Surgeonfish,doctorfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Surgeonfish,Blue tang,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Surgeonfish,ocean surgeonfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Surgeonfish,doctorfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Surgeonfish,Blue tang,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Surgeonfish,ocean surgeonfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Surgeonfish,doctorfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Triggerfish & Filefish,Ocean triggerfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Triggerfish & Filefish,queen triggerfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Triggerfish & Filefish,sargassum triggerfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Triggerfish & Filefish,scrawled filefish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Triggerfish & Filefish,whitespotted filefish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Triggerfish & Filefish,black durgon,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Triggerfish & Filefish,Ocean triggerfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Triggerfish & Filefish,queen triggerfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Triggerfish & Filefish,sargassum triggerfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Triggerfish & Filefish,scrawled filefish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Triggerfish & Filefish,whitespotted filefish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Triggerfish & Filefish,black durgon,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Triggerfish & Filefish,Ocean triggerfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Triggerfish & Filefish,queen triggerfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Triggerfish & Filefish,sargassum triggerfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Triggerfish & Filefish,scrawled filefish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Triggerfish & Filefish,whitespotted filefish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Triggerfish & Filefish,black durgon,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Wrasses,Hogfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Wrasses,puddingwife,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Wrasses,Spanish hogfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Wrasses,Hogfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Wrasses,puddingwife,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Wrasses,Spanish hogfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Wrasses,Hogfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Wrasses,puddingwife,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Wrasses,Spanish hogfish,,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Spiny Lobster FMP,Puerto Rico-spiny lobster,spiny lobster,Panulirus argus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Spiny Lobster FMP,St. Croix-spiny lobster,spiny lobster,Panulirus argus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Spiny Lobster FMP,St. Thomas and St. John-spiny lobster,spiny lobster,Panulirus argus,NA,constant catch,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Coastal Migratory Pelagic FMP,Gulf of Mexico-King mackerel,King mackerel,Scomberomorus cavalla,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Coastal Migratory Pelagic FMP,South Atlantic coast-King mackerel,King mackerel,Scomberomorus cavalla,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Coastal Migratory Pelagic FMP,Gulf of Mexico-Spanish mackerel,Spanish mackerel,Scomberomorus maculatus,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Coastal Migratory Pelagic FMP,South Atlantic coast-Spanish mackerel,Spanish mackerel,Scomberomorus maculatus,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Coastal Migratory Pelagic FMP,Gulf of Mexico-Cobia,Cobia,Rachycentron canadum,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Goliath grouper,Goliath grouper,Epinephelus itajara,NA (no harvest),catch prohibited,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Mutton snapper,Mutton snapper,Lutjanus analis,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Red snapper,Red snapper,Lutjanus campechanus,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Gray snapper,Gray snapper,Lutjanus griseus,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Yellowtail snapper,Yellowtail snapper,Ocyurus chrysurus,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Vermilion snapper,Vermilion snapper,,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Shallow water grouper,Red grouper,,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Gag,Gag,,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Greater amberjack,Greater amberjack,,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Gray triggerfish,Gray triggerfish,,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Hogfish,Hogfish,,Tier 1,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Lane Snapper,Lane Snapper,,Tier 2,constant F,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Mid-water snapper,Queen Snapper,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Mid-water snapper,Blackfin Snapper,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Cubera snapper,Cubera snapper,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Mid-water snapper,Silk Snapper,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Mid-water snapper,Wenchman,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Deep water grouper,Speckled hind,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Deep water grouper,Yellowedge grouper,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Deep water grouper,Warsaw grouper,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Deep water grouper,Snowy grouper,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Shallow water grouper,Black grouper,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Shallow water grouper,Yellowmouth grouper,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Shallow water grouper,Yellowfin grouper,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Tilefishes,Goldface tilefish,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Tilefishes,Blueline tilefish,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Tilefishes,Golden tilefish,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Jacks Complex,Lesser amberjack,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Jacks Complex,Almaco jack,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Jacks Complex,Banded rudderfish,,Tier 3a,catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,Shallow water grouper,Scamp,,Tier 3a** (assessment in progress that will be Tier 1),catch-based,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Red Drum FMP,Red drum,Red drum,Sciaenops ocellatus,NA (no harvest),harvest prohibited,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Shrimp FMP,Royal red shrimp,Royal red shrimp,Pleoticus robustus,NA,constant catch,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Shrimp FMP,Pink shrimp,Pink shrimp,Farfantepenaeus duorarum,NA,none,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Shrimp FMP,White shrimp,White shrimp,Litopenaeus setiferus,NA,none,,,,,,
Gulf of Mexico Fishery Management Council,GMFMC,Shrimp FMP,Brown shrimp,Brown shrimp,Farfantepenaeus aztecus,NA,none,,,,,,
Gulf of Mexico FMC/ South Atlantic FMC,GMFMC/MAFMC,Spiny Lobster FMP,Spiny lobster,Spiny lobster,Panulirus argus,Tier 3a,catch-based,,,,,,
Mid-Atlantic Fishery Management Council,MAFMC,Bluefish FMP,Bluefish,Bluefish,Pomatomus saltatrix,Tier 3,ramped F with cutoff,,,,,,
Mid-Atlantic Fishery Management Council,MAFMC,Golden and Blueline Tilefish FMP,Golden tilefish,Golden tilefish,Lopholatilus chamaelonticeps,Tier 3,ramped F with cutoff,,,,,,
Mid-Atlantic Fishery Management Council,MAFMC,Golden and Blueline Tilefish FMP,Blueline tilefish,Blueline tilefish,Caulolatilus microps,Tier 4,catch-based,,,,,,
Mid-Atlantic Fishery Management Council,MAFMC,"Mackerel, Squid, Butterfish FMP",Atlantic mackerel,Atlantic mackerel,Scomber scrombus,Tier 3,ramped F with cutoff,,,,,,
Mid-Atlantic Fishery Management Council,MAFMC,"Mackerel, Squid, Butterfish FMP",Chub mackerel,Chub mackerel,Scomber colias,Tier 4,catch-based,,,,,,
Mid-Atlantic Fishery Management Council,MAFMC,"Mackerel, Squid, Butterfish FMP",Illex squid,Illex squid,Illex illecebrosus,Tier 4,catch-based,,,,,,
Mid-Atlantic Fishery Management Council,MAFMC,"Mackerel, Squid, Butterfish FMP",Longfin squid,Longfin squid,Doryteuthis (Amerigo) pealeii,Tier 4,catch-based,,,,,,
Mid-Atlantic Fishery Management Council,MAFMC,"Mackerel, Squid, Butterfish FMP",Butterfish,Butterfish,Peprilus triacanthus,Tier 3,ramped F with cutoff,,,,,,
Mid-Atlantic Fishery Management Council,MAFMC,"Mid-Atlantic summer flounder, scup, black sea bass FMP",Summer flounder,Summer flounder,Paralichthys dentatus,Tier 3,ramped F with cutoff,,,,,,
Mid-Atlantic Fishery Management Council,MAFMC,"Mid-Atlantic summer flounder, scup, black sea bass FMP",Scup,Scup,Stenotomus chrysops,Tier 3,ramped F with cutoff,,,,,,
Mid-Atlantic Fishery Management Council,MAFMC,"Mid-Atlantic summer flounder, scup, black sea bass FMP",Sea bass,Black sea bass,Centropristis striata,Tier 3,ramped F with cutoff,,,,,,
New England Fishery Management Council,NEFMC,Atlantic Salmon FMP,Atlantic salmon,Atlantic salmon,Salmo salar,NA,catch prohibited,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Gulf of Maine-Atlantic cod,Atlantic cod,Gadus morhua,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Georges Bank-Atlantic cod,Atlantic cod,Gadus morhua,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Acadian redfish,Acadian redfish,Sebastes fasciatus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Atlantic wolffish,Atlantic wolffish,Anarhichas lupus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Witch flounder,Witch flounder,Glyptocephalus cynoglossus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Gulf of Maine-Haddock,Haddock,Melanogrammus aeglefinus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Georges Bank-Haddock,Haddock,Melanogrammus aeglefinus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Gulf of Maine-Winter flounder,Winter flounder,Pseudopleuronectes americanus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Georges Bank-Winter flounder,Winter flounder,Pseudopleuronectes americanus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Southern New England/Mid-Atlantic-Winter flounder,Winter flounder,Pseudopleuronectes americanus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,White hake,White hake,Urophycis tenuis,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Northern-Windowpane flounder,Windowpane flounder,Scophthalmus aquosus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Southern-Windowpane flounder,Windowpane flounder,Scophthalmus aquosus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Atlantic pollock,Atlantic pollock,Pollachius virens,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Georges Bank-Yellowtail flounder,Yellowtail flounder,Limanda ferruginea,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Southern New England/Mid-AtlanticYellowtail flounder,Yellowtail flounder,Limanda ferruginea,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Cape Cod/Gulf of Maine-Yellowtail flounder,Yellowtail flounder,Limanda ferruginea,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Atlantic halibut,Atlantic halibut,Hippoglossus hippoglossus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,American plaice,American plaice,Hippoglossoides platessoides,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Northeast Multispecies FMP,Ocean pout,Ocean pout,Zoarces americanus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Red Crab FMP,Red crab,Red crab,Chaceon quinquedens,NA,constant catch,,,,,,
New England Fishery Management Council,NEFMC,Sea Scallop FMP,Sea scallop,Sea scallop,Placopecten magellanicus,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Skate Complex FMP,Skate complex,Barndoor skate,Dipturis laevis,NA,catch-based,not sure about type,,,,,
New England Fishery Management Council,NEFMC,Skate Complex FMP,Skate complex,Clearnose skate,Raja eglanteria,NA,catch-based,not sure about type,,,,,
New England Fishery Management Council,NEFMC,Skate Complex FMP,Skate complex,Little skate,Leucoraja erinacea,NA,catch-based,,,,,,
New England Fishery Management Council,NEFMC,Skate Complex FMP,Skate complex,Rosette skate,Leucoraja garmani,NA,catch-based,,,,,,
New England Fishery Management Council,NEFMC,Skate Complex FMP,Skate complex,Smooth skate,Malacoraja senta,NA,catch-based,,,,,,
New England Fishery Management Council,NEFMC,Skate Complex FMP,Skate complex,Thorny skate,Amblyraja radiata,NA,catch-based,,,,,,
New England Fishery Management Council,NEFMC,Skate Complex FMP,Skate complex,Winter skate,Leucoraja ocellata,NA,catch-based,,,,,,
New England Fishery Management Council,NEFMC,Small-Mesh Multispecies FMP,Gulf of Maine-Red hake,Red hake,Urophycis chuss,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Small-Mesh Multispecies FMP,Southern Georges Bank-Red hake,Red hake,Urophycis chuss,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Small-Mesh Multispecies FMP,Gulf of Maine-Silver hake,Silver hake,Merluccius bilinearis,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Small-Mesh Multispecies FMP,Southern Georges Bank-Silver hake,Silver hake,Merluccius bilinearis,NA,constant F,,,,,,
New England Fishery Management Council,NEFMC,Small-Mesh Multispecies FMP,Offshore hake,Offshore hake,Merluccius albidus,NA,constant F,,,,,,
New England FMC/ Mid-Atlantic FMC,MAFMC,Atlantic Herring FMP,Atlantic herring,Atlantic herring,Clupea harengus,NA,ramped F with biomass cutoff,,,,,,
New England FMC/ Mid-Atlantic FMC,NEFMC,Monkfish FMP,Gulf of Maine/Northern Georges Bank-Monkfish,Monkfish,Lophius americanus,NA,catch-based,not sure about type,,,,,
New England FMC/ Mid-Atlantic FMC,NEFMC,Monkfish FMP,Southern Georges Bank/Mid-Atlantic-Monkfish,Monkfish,Lophius americanus,NA,catch-based,not sure about type,,,,,
New England FMC/ Mid-Atlantic FMC,NEFMC,Spiny Dogfish FMP,Spiny dogfish,Spiny dogfish,Squalus acanthias,Tier 3,ramped F with cutoff,,,,,,
New England FMC/ Mid-Atlantic FMC,NEFMC,Surfclams and Ocean Quahogs FMP,Surfclam,Surfclam,Spisula solidissima,Tier 3,ramped F with cutoff,,,,,,
New England FMC/ Mid-Atlantic FMC,NEFMC,Surfclams and Ocean Quahogs FMP,Ocean quahog,Ocean quahog,Arctica islandica,Tier 3,ramped F with cutoff,,,,,,
North Pacific Fishery Management Council,NPFMC,Alaska Salmon FMP,Mixed sp. salmon,Coho salmon,Oncorhynchus kisutch,3,constant escapement,,,,,,
North Pacific Fishery Management Council,NPFMC,Alaska Salmon FMP,Mixed sp. salmon,Pink salmon,Oncorhynchus gorbuscha,3,constant escapement,,,,,,
North Pacific Fishery Management Council,NPFMC,Alaska Salmon FMP,Eastern North Pacific Far North Migrating-Chinook salmon,Chinook salmon,Oncorhynchus tshawytscha,1,downward sloping,,,,,,
North Pacific Fishery Management Council,NPFMC,Alaska Salmon FMP,Coho salmon,Coho salmon,Oncorhynchus kisutch,2,constant escapement,,,,,,
North Pacific Fishery Management Council,NPFMC,Alaska Scallop FMP,Mixed sp. salmon,Chum salmon,Oncorhynchus keta,3,constant escapement,,,,,,
North Pacific Fishery Management Council,NPFMC,Alaska Scallop FMP,Mixed sp. salmon,sockeye salmon,Oncorhynchus nerka,3,constant escapement,,,,,,
North Pacific Fishery Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,EBS snow crab,EBS snow crab,,3,ramped F with cutoff,,,,,,
North Pacific Fishery Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,Bristol Bay red king crab,Bristol Bay red king crab,,3,ramped F with cutoff,,,,,,
North Pacific Fishery Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,EBS Tanner crab,EBS Tanner crab,,3,ramped F with cutoff,,,,,,
North Pacific Fishery Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,Aleutian Island golden king crab,Aleutian Island golden king crab,,3,ramped F with cutoff,,,,,,
North Pacific Fishery Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,St. Matthew blue king crab,St. Matthew blue king crab,,4,ramped F with cutoff,,,,,,
North Pacific Fishery Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,Pribilof Islands blue king crab,Pribilof Islands blue king crab,,4,ramped F with cutoff,,,,,,
North Pacific Fishery Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,Pribilof Islands red king crab,Pribilof Islands red king crab,,4,ramped F with cutoff,,,,,,
North Pacific Fishery Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,Norton Sound red king crab,Norton Sound red king crab,,4,ramped F with cutoff,,,,,,
North Pacific Fishery Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,Pribilof Islands golden king crab,Pribilof Islands golden king crab,,5,catch-based,,,,,,
North Pacific Fishery Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,Western Aleutian Islands red king crab,Western Aleutian Islands red king crab,,5,catch-based,,,,,,
North Pacific Fishery Management Council,NPFMC,Fish Resource of the Arctic FMP,NA,NA,NA,NA,NA,,,,,,
North Pacific Fishery Management Council,NPFMC,GOA groundfish FMP,Arrowtooth flounder,Arrowtooth flounder,,3,ramped F with cutoff,,,,,,
North Pacific Fishery Management Council,NPFMC,GOA groundfish FMP,Atka mackerel,Atka mackerel,,6,catch-based,,,,,,
North Pacific Fishery Management Council,NPFMC,GOA groundfish FMP,Deepwater flatfish,Greenland turbot,,6,catch-based,,,,,,
North Pacific Fishery Management Council,NPFMC,GOA groundfish FMP,Deepwater flatfish,Kamchatka flounder,,6,catch-based,,,,,,
North Pacific Fishery Management Council,NPFMC,GOA groundfish FMP,Deepwater flatfish,deepsea sole,,6,catch-based,,,,,,
North Pacific Fishery Management Council,NPFMC,GOA groundfish FMP,Deepwater flatfish,Dover sole,,3a,ramped F with cutoff,,,,,,
North Pacific Fishery Management Council,NPFMC,GOA groundfish FMP,Demersal shelf rockfish,yelloweye rockfish,,4,constant F,,,,,,
