"council","stock_name","stock_area","comm_name","sci_name"
"NPFMC","Bering Sea / Aleutian Islands Other Skates Complex",NA,NA,NA
"NPFMC","Bering Sea / Aleutian Islands Sculpin Complex",NA,NA,NA
"NPFMC","Bering Sea / Aleutian Islands Shark Complex",NA,NA,NA
"NPFMC","Bering Sea / Aleutian Islands Skate Complex",NA,NA,NA
"NPFMC","Bering Sea / Aleutian Islands Squid Complex",NA,NA,NA
"NPFMC","Gulf of Alaska Blackspotted and Rougheye Rockfish Complex",NA,NA,NA
"NPFMC","Gulf of Alaska Other Rockfish Complex",NA,NA,NA
"NPFMC","Gulf of Alaska Other Shallow Water Flatfish Complex",NA,NA,NA
"NPFMC","Gulf of Alaska Sculpin Complex",NA,NA,NA
"NPFMC","Gulf of Alaska Shallow Water Flatfish Complex",NA,NA,NA
"NPFMC","Gulf of Alaska Shark Complex",NA,NA,NA
"NPFMC","Gulf of Alaska Skate Complex",NA,NA,NA
"NPFMC","Gulf of Alaska Squid Complex",NA,NA,NA
"PFMC","Arrowtooth flounder - Pacific Coast","Pacific Coast","Arrowtooth flounder","Reinhardtius stomias"
"PFMC","Aurora rockfish - Pacific Coast","Pacific Coast","Aurora rockfish","Sebastes aurora"
"PFMC","Big skate - Pacific Coast","Pacific Coast","Big skate","Raja binoculata"
"PFMC","Black rockfish - California","California","Black rockfish","Sebastes melanops"
"PFMC","Black rockfish - Northern Pacific Coast","Northern Pacific Coast","Black rockfish","Sebastes melanops"
"PFMC","Black rockfish - Oregon","Oregon","Black rockfish","Sebastes melanops"
"PFMC","Black rockfish - Southern Pacific Coast","Southern Pacific Coast","Black rockfish","Sebastes melanops"
"PFMC","Black rockfish - Washington","Washington","Black rockfish","Sebastes melanops"
"PFMC","Blackgill rockfish - Southern California","Southern California","Blackgill rockfish","Sebastes melanostomus"
"PFMC","Bocaccio - Southern Pacific Coast","Southern Pacific Coast","Bocaccio","Sebastes paucispinis"
"PFMC","Brown rockfish - Pacific Coast","Pacific Coast","Brown rockfish","Sebastes auriculatus"
"PFMC","Cabezon - California","California","Cabezon","Scorpaenichthys marmoratus"
"PFMC","Cabezon - Northern California","Northern California","Cabezon","Scorpaenichthys marmoratus"
"PFMC","Cabezon - Oregon","Oregon","Cabezon","Scorpaenichthys marmoratus"
"PFMC","Cabezon - Southern California","Southern California","Cabezon","Scorpaenichthys marmoratus"
"PFMC","Cabezon - Washington","Washington","Cabezon","Scorpaenichthys marmoratus"
"PFMC","California scorpionfish - Southern California","Southern California","California scorpionfish","Scorpaena guttata"
"PFMC","Canary rockfish - Pacific Coast","Pacific Coast","Canary rockfish","Sebastes pinniger"
"PFMC","Chilipepper - Southern Pacific Coast","Southern Pacific Coast","Chilipepper","Sebastes goodei"
"PFMC","China rockfish - Central Pacific Coast","Central Pacific Coast","China rockfish","Sebastes nebulosus"
"PFMC","China rockfish - Northern Pacific Coast","Northern Pacific Coast","China rockfish","Sebastes nebulosus"
"PFMC","China rockfish - Southern Pacific Coast","Southern Pacific Coast","China rockfish","Sebastes nebulosus"
"PFMC","Chinook salmon - California Central Valley: Sacramento River Fall","California Central Valley: Sacramento River Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - California Central Valley: Sacramento River Spring","California Central Valley: Sacramento River Spring","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - California Central Valley: Sacramento River Winter","California Central Valley: Sacramento River Winter","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Columbia River Basin: Lower River Hatchery Fall","Columbia River Basin: Lower River Hatchery Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Columbia River Basin: Lower River Hatchery Spring","Columbia River Basin: Lower River Hatchery Spring","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Columbia River Basin: Mid-River Bright Hatchery Fall","Columbia River Basin: Mid-River Bright Hatchery Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Columbia River Basin: North Lewis River Fall","Columbia River Basin: North Lewis River Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Columbia River Basin: Snake River Fall","Columbia River Basin: Snake River Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Columbia River Basin: Snake River Spring/Summer","Columbia River Basin: Snake River Spring/Summer","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Columbia River Basin: Spring Creek Hatchery Fall","Columbia River Basin: Spring Creek Hatchery Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Columbia River Basin: Upper River Bright Fall","Columbia River Basin: Upper River Bright Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Columbia River Basin: Upper River Spring","Columbia River Basin: Upper River Spring","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Columbia River Basin: Upper River Summer","Columbia River Basin: Upper River Summer","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Columbia River Basin: Upper Willamette Spring","Columbia River Basin: Upper Willamette Spring","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Northern California Coast: California Coastal","Northern California Coast: California Coastal","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Northern California Coast: Klamath River Fall","Northern California Coast: Klamath River Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Northern California Coast: Klamath River Spring","Northern California Coast: Klamath River Spring","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Oregon Coast: Central and Northern Oregon","Oregon Coast: Central and Northern Oregon","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Oregon Coast: Southern Oregon","Oregon Coast: Southern Oregon","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: Cedar River Summer/Fall","Puget Sound: Cedar River Summer/Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: Eastern Strait of Juan de Fuca Summer/Fall","Puget Sound: Eastern Strait of Juan de Fuca Summer/Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: Green River Summer/Fall","Puget Sound: Green River Summer/Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: Mid Hood Canal Summer/Fall","Puget Sound: Mid Hood Canal Summer/Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: Nisqually River Summer/Fall","Puget Sound: Nisqually River Summer/Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: Nooksack Spring Early","Puget Sound: Nooksack Spring Early","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: Puyallup Summer/Fall","Puget Sound: Puyallup Summer/Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: Skagit Spring","Puget Sound: Skagit Spring","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: Skagit Summer/Fall","Puget Sound: Skagit Summer/Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: Snohomish Summer/Fall","Puget Sound: Snohomish Summer/Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: Stillaguamish Summer/Fall","Puget Sound: Stillaguamish Summer/Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Puget Sound: White River Spring","Puget Sound: White River Spring","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Washington Coast: Grays Harbor Fall","Washington Coast: Grays Harbor Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Washington Coast: Grays Harbor Spring","Washington Coast: Grays Harbor Spring","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Washington Coast: Hoh Fall","Washington Coast: Hoh Fall","Chinook salmon","Oncorhynchus tshawytscha"
