"fmc","fmp","sst_c","biomass","emsy","limit_type","catch","u","sst_label"
"PFMC","Sardine",16,640000,0.2251248,"ABC",116145.075689165,0.208593885936,"16.0°C"
"PFMC","Sardine",16,650000,0.2251248,"ABC",117959.842496808,0.208593885936,"16.0°C"
"PFMC","Sardine",16,660000,0.2251248,"ABC",119774.609304451,0.208593885936,"16.0°C"
"PFMC","Sardine",16,670000,0.2251248,"ABC",121589.376112094,0.208593885936,"16.0°C"
"PFMC","Sardine",16,680000,0.2251248,"ABC",123404.142919737,0.208593885936,"16.0°C"
"PFMC","Sardine",16,690000,0.2251248,"ABC",125218.909727381,0.208593885936,"16.0°C"
"PFMC","Sardine",16,7e+05,0.2251248,"ABC",127033.676535024,0.208593885936,"16.0°C"
"PFMC","Sardine",16,710000,0.2251248,"ABC",128848.443342667,0.208593885936,"16.0°C"
"PFMC","Sardine",16,720000,0.2251248,"ABC",130663.21015031,0.208593885936,"16.0°C"
"PFMC","Sardine",16,730000,0.2251248,"ABC",132477.976957953,0.208593885936,"16.0°C"
"PFMC","Sardine",16,740000,0.2251248,"ABC",134292.743765597,0.208593885936,"16.0°C"
"PFMC","Sardine",16,750000,0.2251248,"ABC",136107.51057324,0.208593885936,"16.0°C"
"PFMC","Sardine",16,760000,0.2251248,"ABC",137922.277380883,0.208593885936,"16.0°C"
"PFMC","Sardine",16,770000,0.2251248,"ABC",139737.044188526,0.208593885936,"16.0°C"
"PFMC","Sardine",16,780000,0.2251248,"ABC",141551.810996169,0.208593885936,"16.0°C"
"PFMC","Sardine",16,790000,0.2251248,"ABC",143366.577803813,0.208593885936,"16.0°C"
"PFMC","Sardine",16,8e+05,0.2251248,"ABC",145181.344611456,0.208593885936,"16.0°C"
"PFMC","Sardine",16,810000,0.2251248,"ABC",146996.111419099,0.208593885936,"16.0°C"
"PFMC","Sardine",16,820000,0.2251248,"ABC",148810.878226742,0.208593885936,"16.0°C"
"PFMC","Sardine",16,830000,0.2251248,"ABC",150625.645034385,0.208593885936,"16.0°C"
"PFMC","Sardine",16,840000,0.2251248,"ABC",152440.411842029,0.208593885936,"16.0°C"
"PFMC","Sardine",16,850000,0.2251248,"ABC",154255.178649672,0.208593885936,"16.0°C"
"PFMC","Sardine",16,860000,0.2251248,"ABC",156069.945457315,0.208593885936,"16.0°C"
"PFMC","Sardine",16,870000,0.2251248,"ABC",157884.712264958,0.208593885936,"16.0°C"
"PFMC","Sardine",16,880000,0.2251248,"ABC",159699.479072601,0.208593885936,"16.0°C"
"PFMC","Sardine",16,890000,0.2251248,"ABC",161514.245880245,0.208593885936,"16.0°C"
"PFMC","Sardine",16,9e+05,0.2251248,"ABC",163329.012687888,0.208593885936,"16.0°C"
"PFMC","Sardine",16,910000,0.2251248,"ABC",165143.779495531,0.208593885936,"16.0°C"
"PFMC","Sardine",16,920000,0.2251248,"ABC",166958.546303174,0.208593885936,"16.0°C"
"PFMC","Sardine",16,930000,0.2251248,"ABC",168773.313110817,0.208593885936,"16.0°C"
"PFMC","Sardine",16,940000,0.2251248,"ABC",170588.079918461,0.208593885936,"16.0°C"
"PFMC","Sardine",16,950000,0.2251248,"ABC",172402.846726104,0.208593885936,"16.0°C"
"PFMC","Sardine",16,960000,0.2251248,"ABC",174217.613533747,0.208593885936,"16.0°C"
"PFMC","Sardine",16,970000,0.2251248,"ABC",176032.38034139,0.208593885936,"16.0°C"
"PFMC","Sardine",16,980000,0.2251248,"ABC",177847.147149033,0.208593885936,"16.0°C"
"PFMC","Sardine",16,990000,0.2251248,"ABC",179661.913956677,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1e+06,0.2251248,"ABC",181476.68076432,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1010000,0.2251248,"ABC",183291.447571963,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1020000,0.2251248,"ABC",185106.214379606,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1030000,0.2251248,"ABC",186920.981187249,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1040000,0.2251248,"ABC",188735.747994893,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1050000,0.2251248,"ABC",190550.514802536,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1060000,0.2251248,"ABC",192365.281610179,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1070000,0.2251248,"ABC",194180.048417822,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1080000,0.2251248,"ABC",195994.815225465,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1090000,0.2251248,"ABC",197809.582033109,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1100000,0.2251248,"ABC",199624.348840752,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1110000,0.2251248,"ABC",201439.115648395,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1120000,0.2251248,"ABC",203253.882456038,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1130000,0.2251248,"ABC",205068.649263681,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1140000,0.2251248,"ABC",206883.416071325,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1150000,0.2251248,"ABC",208698.182878968,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1160000,0.2251248,"ABC",210512.949686611,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1170000,0.2251248,"ABC",212327.716494254,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1180000,0.2251248,"ABC",214142.483301897,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1190000,0.2251248,"ABC",215957.250109541,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1200000,0.2251248,"ABC",217772.016917184,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1210000,0.2251248,"ABC",219586.783724827,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1220000,0.2251248,"ABC",221401.55053247,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1230000,0.2251248,"ABC",223216.317340113,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1240000,0.2251248,"ABC",225031.084147756,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1250000,0.2251248,"ABC",226845.8509554,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1260000,0.2251248,"ABC",228660.617763043,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1270000,0.2251248,"ABC",230475.384570686,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1280000,0.2251248,"ABC",232290.151378329,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1290000,0.2251248,"ABC",234104.918185972,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1300000,0.2251248,"ABC",235919.684993616,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1310000,0.2251248,"ABC",237734.451801259,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1320000,0.2251248,"ABC",239549.218608902,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1330000,0.2251248,"ABC",241363.985416545,0.208593885936,"16.0°C"
